Prattville,Alabama,Hot-humid
Prattville,Alabama,Hot-humid
Russellville,Alabama,Mixed-humid
Clarkdale,Arizona,Mixed-dry
Clarkdale,Arizona,Mixed-dry 
Bellemont,Arizona,Cold
Flagstaff,Arizona,Cold
Prescott Valley,Arizona,Mixed-dry
Phoenix,Arizona,Hot-dry
Wickenburg,Arizona,Hot-dry
Phoenix,Arizona,Hot-dry
Prescott,Arizona,Mixed-dry
Prescott Valley,Arizona,Mixed-dry
Prescott,Arizona,Mixed-dry
Glendale,Arizona,Hot-dry
Prescott,Arizona,Mixed-dry
Ramona,California,Hot-dry
Lancaster,California,Hot-dry
El Dorado Hills,California,Hot-dry
San Marcos,California,Hot-dry
Sacramento,California,Hot-dry
San Francisco,California,Marine
San Jose,California,Marine
Boulder,Colorado,Cold
Durango,Colorado,Cold
Cortez,Colorado,Cold
Durango,Colorado,Cold
Durango,Colorado,Cold
Fort Collins,Colorado,Cold
Fort Collins,Colorado,Cold
Fort Collins,Colorado,Cold
Fort Collins,Colorado,Cold
Fort Collins,Colorado,Cold
Fort Collins,Colorado,Cold
Fort Collins,Colorado,Cold
Denver ,Colorado,Cold
Denver ,Colorado,Cold
Denver,Colorado,Cold
Denver,Colorado,Cold
Denver,Colorado,Cold
Denver,Colorado,Cold
Westminster,Colorado,Cold
Denver,Colorado,Cold
Denver,Colorado,Cold
Denver,Colorado,Cold
New Fairfield,Connecticut,Cold
Clinton,Connecticut,Cold
Wilton,Connecticut,Cold
Danbury,Connecticut,Cold
Derby,Connecticut,Cold
Guilford,Connecticut,Cold
Norwalk,Connecticut,Cold
South Glastonbury,Connecticut,Cold
Old Greenwich,Connecticut,Cold
Eastford ,Connecticut,Cold
Old Greenwich,Connecticut,Cold
New Hartford,Connecticut,Cold
Millsboro,Delaware,Mixed-humid
Millsboro,Delaware,Mixed-humid
Winter Park,Florida,Hot-humid
Maitland,Florida,Hot-humid
Winter Park,Florida,Hot-humid
North Port,Florida,Hot-humid
Venice,Florida,Hot-humid
Venice,Florida,Hot-humid
Venice,Florida,Hot-humid
Melbourne,Florida,Hot-humid
Ellenton,Florida,Hot-humid
Orlando,Florida,Hot-humid
Edgewater,Florida,Hot-humid
Lakeland,Florida,Hot-humid
Daytona,Florida,Hot-humid
Tampa,Florida,Hot-humid
Lakeland,Florida,Hot-humid
Hilo,Hawaii,Mixed-humid
Honolulu,Hawaii,Hot-humid
Atlanta,Georgia,Mixed-humid
Chamblee,Georgia,Mixed-humid
Roswell,Georgia,Mixed-humid
Serenbe,Georgia,Mixed-humid
Monroe,Georgia,Mixed-humid
Lilburn ,Georgia,Mixed-humid
Decatur,Georgia,Mixed-humid
La Grange,Illinois,Cold
La Grange,Illinois,Cold
LaGrange,Illinois,Cold
Brookfield,Illinois,Cold
Brookfield,Illinois,Cold
Geneva,Illinois,Cold
South Elgin,Illinois,Cold
Chicago,Illinois,Cold
Downer's Grove,Illinois,Cold
Libertyville,Illinois,Cold
Devens,Massachusetts,Cold
Devens,Massachusetts,Cold
Easton,Maryland,Mixed-humid
Westminster ,Maryland,Mixed-humid
Vassalboro,Maine,Cold / very Cold
Midland,Michigan,Cold
Traverse City,Michigan,Cold
Kalamazoo,Michigan,Cold
Kalamazoo,Michigan,Cold
Eden Prairie,Minnesota,Cold
Maplewood,Minnesota,Cold
Afton,Minnesota,Cold
Maplewood,Minnesota,Cold
Edina,Minnesota,Cold
Mills River,North Carolina,Mixed-humid
Hickory,North Carolina,Mixed-humid
Hickory,North Carolina,Mixed-humid
Hickory,North Carolina,Mixed-humid
Hickory,North Carolina,Mixed-humid
Pilot Mountain,North Carolina,Mixed-humid
Ararat,North Carolina,Mixed-humid
Omaha,Nebraska,Cold
Omaha,Nebraska,Cold
Kearney,Nebraska,Cold
Walpole,New Hampshire,Cold
Lavallette,New Jersey,Mixed-humid
North Cape May,New Jersey,Mixed-humid
Princeton,New Jersey,Cold
Albuquerque,New Mexico,Mixed-dry
Albuquerque,New Mexico,Mixed-dry
Albuquerque,New Mexico,Mixed-dry
Henderson,Nevada,Hot-dry
Ithaca,New York,Cold
Ithaca,New York,Cold
Sagaponack,New York,Mixed-humid
Esopus,New York,Cold
Esopus,New York,Cold
Esopus,New York,Cold
New Paltz,New York,Cold
Gardiner,New York,Cold
Esopus,New York,Cold
Esopus,New York,Cold
Esopus,New York,Cold
Newburgh,New York,Cold
Ithaca,New York,Cold
Hillsdale,New York,Cold
Coram,New York,Mixed-humid
Deer Park,New York,Mixed-humid
Deer Park,New York,Mixed-humid
Deer Park,New York,Mixed-humid
East Patchogue,New York,Mixed-humid
Uniontown,Ohio,Cold
North Canton,Ohio,Cold
North Canton,Ohio,Cold
North Canton,Ohio,Cold
Westlake,Ohio,Cold
Lorain,Ohio,Cold
Portland,Oregon,Marine
Gettysburg,Pennsylvania,Cold
Gettysburg,Pennsylvania,Cold
Gettysburg,Pennsylvania,Cold
Gettysburg,Pennsylvania,Cold
Pittsburgh,Pennsylvania,Cold
Charlestown,Rhode Island,Cold
Exeter,Rhode Island,Cold
Greenville,South Carolina,Mixed-humid
Greer,South Carolina,Mixed-humid
Greer,South Carolina,Mixed-humid
Greer,South Carolina,Mixed-humid
Greer,South Carolina,Mixed-humid
Greer,South Carolina,Mixed-humid
Johns Island,South Carolina,Hot-humid
Charleston,South Carolina,Mixed-humid
Charleston,South Carolina,Hot-humid
Charleston,South Carolina,Hot-humid
Sioux Falls,South Dakota,Cold
Lewisville,Texas,Hot-humid
Garland,Texas,Hot-humid
Lewisville,Texas,Hot-humid
San Antonio,Texas,Cold
Dallas,Texas,Hot-humid
Houston,Texas,Hot-humid
Aledo,Texas,Hot-humid
Dallas,Texas,Hot-humid
Mineral Wells,Texas,Hot-humid
Houston,Texas,Hot-humid
Double Oak,Texas,Hot-humid
El Paso,Texas,Hot-humid
Dallas,Texas,Hot-humid
Salt Lake City,Utah,Cold
Salt Lake City,Utah,Cold
Salt Lake City,Utah,Cold
Salt Lake City,Utah,Cold
South Salt Lake,Utah,Cold
South Jordan,Utah,Cold
West Jordan,Utah,Cold
Richmond,Virginia,Mixed-humid
Hampton,Virginia,Mixed-humid
Richmond,Virginia,Mixed-humid
Toano,Virginia,Mixed-humid
Charlottesville,Virginia,Mixed-humid
Fayston,Vermont,Cold
Bellingham,Washington,Marine
Custer,Washington,Marine
Seattle,Washington,Marine
Bellingham,Washington,Marine
Oak Harbor,Washington,Marine
Anacortes,Washington,Marine
Coupeville,Washington,Marine
Coupeville,Washington,Marine
Coupeville,Washington,Marine
Coupeville,Washington,Marine
Port Hadlock,Washington,Marine
Snohomish,Washington,Marine
Coupeville,Washington,Marine
Anacortes,Washington,Marine
Seattle,Washington,Marine
Seattle,Washington,Marine
Seattle,Washington,Marine
Seattle,Washington,Marine
Seattle,Washington,Marine
Selah,Washington,Cold
Seattle,Washington,Marine
Bellingham,Washington,Marine
Seattle,Washington,Marine
Seattle,Washington,Marine
Seattle,Washington,Marine
Bellingham,Washington,Marine
Bellingham,Washington,Marine
Seattle,Washington,Marine
Seattle,Washington,Marine
Seattle,Washington,Marine
Bellingham,Washington,Marine
Seattle,Washington,Marine
Bellingham,Washington,Marine
New Berlin ,Wisconsin,Cold
New Berlin,Wisconsin,Cold
NULL,Alaska,NULL
NULL,Arkansas,NULL
NULL,Idaho,NULL
NULL,Indiana,NULL
NULL,Iowa,NULL
NULL,Kansas,NULL
NULL,Kentucky,NULL
NULL,Louisiana,NULL
NULL,Mississippi,NULL
NULL,Missouri,NULL
NULL,Montana,NULL
NULL,North Dakota,NULL
NULL,Oklahoma,NULL
NULL,Tennessee,NULL
NULL,West Virginia,NULL
NULL,Wyoming,NULL
